customer_id,customer_name,email,phone_number,city,state,country,signup_date,customer_segment,loyalty_status,customer_status
C1001,Rebecca Wallace,burnettjessica@example.net,(397)725-3219,Martinezborough,Louisiana,India,2021-09-20,Premium,Gold,Active
C1002,Audrey Richard,travisthomas@example.org,9592344108,New Jamesland,New Mexico,India,2021-08-06,Premium,Bronze,Inactive
C1003,Laura Ward,johnfleming@example.net,253.932.5597,East Colleen,Utah,USA,2022-07-22,Corporate,None,Inactive
C1004,Sandra Nelson,smithcarmen@example.net,586.889.3515,Thomasburgh,New Jersey,Australia,2024-11-27,Retail,Bronze,Inactive
C1005,Anthony Johnson,marc23@example.com,001-222-281-0787x10967,Lake Jessicaborough,Kansas,Australia,2025-03-08,Retail,None,Inactive
C1006,Nicholas Boone,thensley@example.org,6136342650,Port Richard,Montana,India,2023-06-18,Retail,None,Inactive
C1007,Julie Henderson,millerrebecca@example.com,001-568-280-3730x192,North Kyle,Colorado,Australia,2025-04-15,Corporate,Gold,Inactive
C1008,Jason Jones,rachel51@example.net,(225)800-8430,Stephenland,Utah,USA,2025-04-01,Corporate,None,Inactive
C1009,Eric Meyer,gabriela12@example.com,949.797.3853x99803,Coreyberg,Delaware,India,2025-02-06,Premium,Bronze,Inactive
C1010,Brianna Robinson,ebony35@example.org,980.949.6192x4352,Haasshire,Connecticut,Australia,2021-12-18,Retail,Bronze,Inactive
C1011,Christopher Abbott,rodriguezjohn@example.org,2247579190,Christophershire,Pennsylvania,India,2021-07-06,Corporate,None,Active
C1012,Beth Brady,paynedan@example.com,001-963-678-5246,Taylorfurt,New Jersey,India,2024-06-16,Corporate,Gold,Active
C1013,Logan Compton,justingeorge@example.net,896.452.9490x8557,Mitchellfort,Utah,India,2024-05-26,Retail,Silver,Inactive
C1014,Cody Gomez,heather27@example.org,001-418-996-9355,East Kelly,Iowa,USA,2021-05-12,Corporate,Silver,Active
C1015,Christine Fischer,christianjordan@example.org,942-956-1537x601,Lake Ricardoview,Michigan,Australia,2025-05-07,Premium,Gold,Active
C1016,Michael Davis,smithryan@example.org,001-413-664-9417,Davisstad,Arizona,USA,2025-02-23,Retail,Bronze,Inactive
C1017,Kyle Mitchell,traciemartin@example.com,984.377.1488,Port Scott,Colorado,USA,2021-08-06,Retail,Gold,Active
C1018,John Robles,jose70@example.com,304.419.0727,North Michelleburgh,Arizona,USA,2021-09-29,Premium,Silver,Active
